date,actual,n_train,Naive: last value,Naive: 3m avg,Naive: 12m avg,OLS,Ridge(1.0),Ridge(10),ElasticNetCV,"RF(300,d6)","GBM(200,d3)","XGB(300,d4)"
2022-10-01,357.0,142,220.0,408.0,484.25,333.7514948576959,228.79542558036337,205.3093078753589,243.42545191538315,341.9043074210685,259.2393661405242,282.96646
2022-11-01,303.0,143,357.0,289.0,447.25,457.6661692556971,322.7910943656817,286.0468952120464,284.5299854776711,331.78688467275305,371.04523000917266,297.48535
2022-12-01,100.0,144,303.0,293.3333333333333,417.6666666666667,354.1715744318784,247.11120462564156,219.2605153976683,231.98525402659556,269.0904773942204,292.5862528733792,266.93637
2023-01-01,434.0,145,100.0,253.33333333333334,377.1666666666667,358.4510002034299,213.31344439122978,162.64273172920556,174.86023485436155,212.29933953455827,151.3810604443068,170.86623
2023-02-01,290.0,146,434.0,279.0,397.5,399.6808995061029,253.57973615598968,183.69814770994122,188.34043106877428,243.77734571616165,277.4071867709163,233.70331
2023-03-01,68.0,147,290.0,274.6666666666667,353.4166666666667,340.9095522299834,263.8193498877226,237.5612696959173,243.14779870033067,269.99589874932724,426.0172093817002,294.49063
2023-04-01,241.0,148,68.0,264.0,318.25,260.52728534695007,169.112387470275,139.77635735519624,155.00188682951915,212.29255640785402,223.712209548274,257.3211
2023-05-01,280.0,149,241.0,199.66666666666666,312.6666666666667,446.08067141870936,301.6982817848324,241.28695919022647,208.43679896195957,211.17180853431586,232.51375575983715,236.96753
2023-06-01,225.0,150,280.0,196.33333333333334,310.9166666666667,324.88137161642084,320.526512735902,318.1718142758711,258.4445355244738,232.4884628720831,166.4872029765235,192.21805
2023-07-01,163.0,151,225.0,248.66666666666666,293.5,217.88649647261926,197.80629716864252,187.8783136041206,204.8148662077456,232.28130837988675,237.26304185895532,224.61739
2023-08-01,218.0,152,163.0,222.66666666666666,247.58333333333334,127.32135440995161,142.4620093003948,161.62608681393561,192.34992330129563,207.78637364804604,179.08007128601088,197.3649
2023-09-01,156.0,153,218.0,202.0,241.58333333333334,247.40313937149512,166.62156349053427,148.58838257088638,175.16217094257115,192.98413815290826,193.21566578507836,184.23769
2023-10-01,159.0,154,156.0,179.0,236.25,285.8088155744661,192.99819869091888,164.77897148524715,176.79572460085149,174.1347307072419,124.90662707214528,156.6773
2023-11-01,127.0,155,159.0,177.66666666666666,219.75,264.27899175880833,220.37885174648667,199.9103217838392,196.44453562224828,176.53965324351205,180.68605048290982,177.80891
2023-12-01,154.0,156,127.0,147.33333333333334,205.08333333333334,244.65558463842768,238.3323059061488,224.88446823367488,214.42173089261075,204.3322618973553,249.8476607057265,213.82736
2024-01-01,175.0,157,154.0,146.66666666666666,209.58333333333334,175.49922769662845,220.5907173177297,199.8801795536237,191.23778028151187,187.40061098848832,163.67357419032567,177.47917
2024-02-01,206.0,158,175.0,152.0,188.0,132.23108916530214,136.98291623613363,134.21048146602988,141.7967907029859,183.25298567724607,180.77788391833278,162.57089
2024-03-01,228.0,159,206.0,178.33333333333334,181.0,134.10931238620236,151.35498671591523,153.0095291501568,160.41799643437167,181.3753656151964,158.3329643816874,174.60713
2024-04-01,64.0,160,228.0,203.0,194.33333333333334,76.34139160507081,103.14293020630447,116.57293590914044,152.9027541734522,178.85240671852117,146.2135693893617,140.79031
2024-05-01,78.0,161,64.0,166.0,179.58333333333334,188.3922958789252,194.68157473803393,184.18908218567427,182.56982006891627,177.88248463635753,132.23774263346573,171.48251
2024-06-01,87.0,162,78.0,123.33333333333333,162.75,151.30704692898712,160.6190045981918,141.49732620598004,140.6102139960039,181.5156662158598,176.60555900419186,188.06297
2024-07-01,53.0,163,87.0,76.33333333333333,151.25,150.21034740941568,208.9034540166111,198.83075787208963,185.4411230603141,162.22140215425682,157.27285622661077,138.5924
2024-08-01,9.0,164,53.0,72.66666666666667,142.08333333333334,143.57238517712466,179.20011751070953,154.6701123737289,139.47132736345242,141.0801955802846,88.40817515342829,53.40398
2024-09-01,155.0,165,9.0,49.666666666666664,124.66666666666667,133.1271541205193,161.18758315112666,139.4868045857749,123.80356537664457,135.66143820754084,73.67958582401653,126.90832
2024-10-01,33.0,166,155.0,72.33333333333333,124.58333333333333,98.59281141448176,158.2037427823075,161.85312960904452,139.52832654976243,144.96511514302262,79.3700375244235,127.81424
